date,een_jaar_geleden_permill,twee_jaar_geleden_permill,drie_jaar_geleden_permill,vier_jaar_geleden_permill,vijf_jaar_geleden_permill,zes_jaar_geleden_permill,zeven_jaar_geleden_permill,acht_jaar_geleden_permill,negen_jaar_geleden_permill,tien_jaar_geleden_permill,elf_jaar_geleden_permill,twaalf_jaar_geleden_permill,dertien_jaar_geleden_permill,veertien_jaar_geleden_permill,vijftien_jaar_geleden_permill,zestien_jaar_geleden_permill,zeventien_jaar_geleden_permill,achttien_jaar_geleden_permill,negentien_jaar_geleden_permill,twintig_jaar_geleden_permill,dertig_jaar_geleden_permill,veertig_jaar_geleden_permill,vijftig_jaar_geleden_permill,zestig_jaar_geleden_permill,zeventig_jaar_geleden_permill,tachtig_jaar_geleden_permill,negentig_jaar_geleden_permill,honderd_jaar_geleden_permill,honderdtien_jaar_geleden_permill,honderdtwintig_jaar_geleden_permill,honderddertig_jaar_geleden_permill,honderdveertig_jaar_geleden_permill,honderdvijftig_jaar_geleden_permill,honderdzestig_jaar_geleden_permill,honderdzeventig_jaar_geleden_permill,honderdtachtig_jaar_geleden_permill,honderdnegentig_jaar_geleden_permill,tweehonderd_jaar_geleden_permill,no_words
1890,0.4157369748566435,0.0,0.0,0.0,0.0,0.4157369748566435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2405367
1891,0.39203264220592066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39203264220592066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2550808
1892,0.471205792061596,0.471205792061596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471205792061596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.942411584123192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471205792061596,2122215
1893,1.0907706621959614,0.3635902207319871,0.3635902207319871,0.3635902207319871,0.0,0.0,0.0,0.0,0.0,0.3635902207319871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3635902207319871,0.0,0.0,0.3635902207319871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2750349
1894,0.0,1.626629221661984,0.406657305415496,0.406657305415496,0.0,0.406657305415496,0.813314610830992,0.406657305415496,0.0,0.406657305415496,0.0,0.813314610830992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.813314610830992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459073
1895,1.3275677067827758,1.3275677067827758,0.0,0.33189192669569395,0.0,0.33189192669569395,0.0,0.0,0.0,0.6637838533913879,0.0,0.0,0.0,0.0,0.33189192669569395,0.0,0.0,0.0,0.0,1.6594596334784697,0.0,0.0,0.0,0.0,0.33189192669569395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3013029
1896,1.9476213213896538,0.0,0.3246035535649423,0.9738106606948269,0.3246035535649423,0.0,0.0,0.0,0.6492071071298846,0.6492071071298846,0.3246035535649423,0.0,0.0,0.3246035535649423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3080681
1897,1.4744826040542374,0.0,0.0,0.0,0.0,0.36862065101355934,0.0,0.36862065101355934,0.0,0.36862065101355934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2712816
1898,1.0921159783484369,1.0921159783484369,0.3640386594494789,0.0,0.7280773188989578,0.0,0.0,0.0,0.0,0.7280773188989578,0.0,0.0,0.0,0.3640386594494789,0.0,0.0,0.0,0.0,0.0,0.7280773188989578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746961
1899,0.6993745493405248,1.0490618240107872,0.3496872746702624,0.0,0.0,0.0,0.0,0.0,0.0,0.6993745493405248,0.0,0.0,0.0,0.0,0.0,0.0,0.3496872746702624,0.0,0.0,0.6993745493405248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3496872746702624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2859698
