date,een_jaar_geleden_permill,twee_jaar_geleden_permill,drie_jaar_geleden_permill,vier_jaar_geleden_permill,vijf_jaar_geleden_permill,zes_jaar_geleden_permill,zeven_jaar_geleden_permill,acht_jaar_geleden_permill,negen_jaar_geleden_permill,tien_jaar_geleden_permill,elf_jaar_geleden_permill,twaalf_jaar_geleden_permill,dertien_jaar_geleden_permill,veertien_jaar_geleden_permill,vijftien_jaar_geleden_permill,zestien_jaar_geleden_permill,zeventien_jaar_geleden_permill,achttien_jaar_geleden_permill,negentien_jaar_geleden_permill,twintig_jaar_geleden_permill,dertig_jaar_geleden_permill,veertig_jaar_geleden_permill,vijftig_jaar_geleden_permill,zestig_jaar_geleden_permill,zeventig_jaar_geleden_permill,tachtig_jaar_geleden_permill,negentig_jaar_geleden_permill,honderd_jaar_geleden_permill,honderdtien_jaar_geleden_permill,honderdtwintig_jaar_geleden_permill,honderddertig_jaar_geleden_permill,honderdveertig_jaar_geleden_permill,honderdvijftig_jaar_geleden_permill,honderdzestig_jaar_geleden_permill,honderdzeventig_jaar_geleden_permill,honderdtachtig_jaar_geleden_permill,honderdnegentig_jaar_geleden_permill,tweehonderd_jaar_geleden_permill,no_words
1918,1.9729080269735986,0.9864540134867993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9864540134867993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013732
1920,0.7180270197157654,0.0,0.17950675492894136,0.17950675492894136,0.0,0.17950675492894136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5385202647868241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5570821
1921,0.9441319367733725,1.2588425823644966,0.31471064559112416,0.0,0.0,0.0,0.31471064559112416,0.31471064559112416,0.0,0.6294212911822483,0.0,0.0,0.0,0.0,0.6294212911822483,0.0,0.0,0.0,0.0,0.9441319367733725,0.31471064559112416,0.0,0.0,0.0,0.0,0.0,0.0,0.6294212911822483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3177522
1922,0.9275858465241194,0.6183905643494129,0.0,0.30919528217470643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30919528217470643,0.0,0.30919528217470643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3234202
1923,1.5910255973744258,0.6364102389497703,0.31820511947488517,0.31820511947488517,0.0,0.0,0.0,0.0,0.0,0.31820511947488517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6364102389497703,0.0,0.0,0.0,0.31820511947488517,0.0,0.0,0.0,0.31820511947488517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3142627
1924,0.6269152260154772,0.9403728390232159,0.0,0.3134576130077386,0.0,0.3134576130077386,0.6269152260154772,0.0,0.0,0.3134576130077386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190224
1925,1.2269125726638972,0.3067281431659743,0.3067281431659743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3067281431659743,0.3067281431659743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3260216
1926,0.46335359578607704,0.6950303936791156,0.6950303936791156,0.0,0.23167679789303852,0.46335359578607704,0.23167679789303852,0.0,0.0,0.23167679789303852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1583839894651926,0.23167679789303852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4316358
1927,0.7029007307355997,1.4058014614711993,0.7029007307355997,0.4686004871570664,0.0,0.2343002435785332,0.0,0.0,0.0,0.2343002435785332,0.0,0.0,0.0,0.0,0.2343002435785332,0.0,0.0,0.0,0.0,0.9372009743141329,0.2343002435785332,0.0,0.2343002435785332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4268028
1928,1.0392312390832006,0.25980780977080015,0.0,0.0,0.0,0.25980780977080015,0.0,0.0,0.25980780977080015,1.299039048854001,0.0,0.0,0.0,0.0,0.0,0.25980780977080015,0.0,0.0,0.0,0.7794234293124005,0.0,0.25980780977080015,0.5196156195416003,0.25980780977080015,0.0,0.0,0.0,0.25980780977080015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3848999
