date	een_jaar_geleden_permill	twee_jaar_geleden_permill	drie_jaar_geleden_permill	vier_jaar_geleden_permill	vijf_jaar_geleden_permill	zes_jaar_geleden_permill	zeven_jaar_geleden_permill	acht_jaar_geleden_permill	negen_jaar_geleden_permill	tien_jaar_geleden_permill	elf_jaar_geleden_permill	twaalf_jaar_geleden_permill	dertien_jaar_geleden_permill	veertien_jaar_geleden_permill	vijftien_jaar_geleden_permill	zestien_jaar_geleden_permill	zeventien_jaar_geleden_permill	achttien_jaar_geleden_permill	negentien_jaar_geleden_permill	twintig_jaar_geleden_permill	dertig_jaar_geleden_permill	veertig_jaar_geleden_permill	vijftig_jaar_geleden_permill	zestig_jaar_geleden_permill	zeventig_jaar_geleden_permill	tachtig_jaar_geleden_permill	negentig_jaar_geleden_permill	honderd_jaar_geleden_permill	100_jaar_geleden_permill	honderdtien_jaar_geleden_permill	honderdtwintig_jaar_geleden_permill	honderddertig_jaar_geleden_permill	honderdveertig_jaar_geleden_permill	honderdvijftig_jaar_geleden_permill	honderdzestig_jaar_geleden_permill	honderdzeventig_jaar_geleden_permill	honderdtachtig_jaar_geleden_permill	honderdnegentig_jaar_geleden_permill	tweehonderd_jaar_geleden_permill	200_jaar_geleden_permill	no_words
1893	0.16293241856556254	0.48879725569668764	0.0	0.0	0.0	0.0	0.0	0.16293241856556254	0.0	0.3258648371311251	0.0	0.0	0.0	0.0	0.16293241856556254	0.0	0.0	0.0	0.0	0.3258648371311251	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6137514
1894	0.566090980444104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.283045490222052	0.0	0.141522745111026	0.0	0.0	0.141522745111026	0.0	0.0	0.141522745111026	0.0	0.283045490222052	0.0	0.0	0.141522745111026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7066002
1895	0.19868739161602786	0.09934369580801393	0.19868739161602786	0.0	0.0	0.0	0.0	0.0	0.09934369580801393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09934369580801393	0.19868739161602786	0.0	0.0	0.0	0.0	0.09934369580801393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10066064
1896	0.14972005344407027	0.3743001336101757	0.22458008016610542	0.07486002672203514	0.22458008016610542	0.07486002672203514	0.0	0.0	0.07486002672203514	0.14972005344407027	0.0	0.0	0.0	0.0	0.07486002672203514	0.0	0.0	0.0	0.07486002672203514	0.22458008016610542	0.0	0.0	0.14972005344407027	0.0	0.0	0.0	0.0	0.07486002672203514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13358264
1897	0.30008301496526	0.36009961795831197	0.12003320598610401	0.12003320598610401	0.060016602993052004	0.0	0.060016602993052004	0.12003320598610401	0.0	0.30008301496526	0.060016602993052004	0.0	0.060016602993052004	0.0	0.0	0.0	0.0	0.0	0.0	0.18004980897915598	0.18004980897915598	0.060016602993052004	0.12003320598610401	0.060016602993052004	0.060016602993052004	0.0	0.0	0.36009961795831197	0.060016602993052004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16662056
1898	0.1935097350877528	0.4515227152047565	0.12900649005850184	0.06450324502925092	0.0	0.06450324502925092	0.0	0.06450324502925092	0.0	0.2580129801170037	0.06450324502925092	0.06450324502925092	0.0	0.0	0.0	0.06450324502925092	0.0	0.0	0.0	0.5160259602340074	0.32251622514625466	0.12900649005850184	0.1935097350877528	0.0	0.0	0.0	0.0	0.1935097350877528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15503096
1899	0.4726658519482932	0.1181664629870733	0.1181664629870733	0.0	0.0	0.0	0.0	0.0	0.0	0.1181664629870733	0.0	0.0	0.0	0.0	0.1181664629870733	0.0	0.0	0.0	0.0	0.1181664629870733	0.2363329259741466	0.1181664629870733	0.1181664629870733	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8462638
1900	0.0	0.12816827161112515	0.0	0.12816827161112515	0.0	0.0	0.12816827161112515	0.0	0.0	0.2563365432222503	0.0	0.12816827161112515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12816827161112515	0.12816827161112515	0.12816827161112515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7802243
1901	0.32580572774614525	0.4072571596826815	0.16290286387307262	0.08145143193653631	0.08145143193653631	0.0	0.08145143193653631	0.0	0.0	0.08145143193653631	0.0	0.0	0.08145143193653631	0.0	0.0	0.0	0.0	0.0	0.0	0.08145143193653631	0.0	0.08145143193653631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12277255
1902	0.722007846059263	0.2707529422722237	0.18050196151481576	0.09025098075740788	0.09025098075740788	0.0	0.0	0.0	0.0	0.2707529422722237	0.09025098075740788	0.0	0.0	0.0	0.0	0.09025098075740788	0.0	0.09025098075740788	0.0	0.18050196151481576	0.2707529422722237	0.09025098075740788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11080212
1903	0.6585022629430266	0.43900150862868437	0.21950075431434218	0.10975037715717109	0.0	0.0	0.0	0.10975037715717109	0.0	0.43900150862868437	0.0	0.10975037715717109	0.0	0.0	0.21950075431434218	0.0	0.0	0.0	0.0	0.21950075431434218	0.10975037715717109	0.0	0.10975037715717109	0.0	0.10975037715717109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9111586
1904	0.2903312999496856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1451656499748428	0.0	0.0	0.1451656499748428	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6888682
